 2020-06-10 17:36:01,457 [P15948/D3/T136] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Bookmarksgrove right' with Id '0' has been published.
 2020-06-10 17:36:05,520 [P15948/D3/T146] INFO  umbraco.content - Save Xml to file...
 2020-06-10 17:36:05,545 [P15948/D3/T146] INFO  umbraco.content - Saved Xml to file.
 2020-06-10 17:36:53,768 [P15948/D3/T101] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Editors.IEditorValidator
 2020-06-10 17:36:53,770 [P15948/D3/T101] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Editors.IEditorValidator, found 0 (took 1ms)
 2020-06-10 17:37:34,584 [P15948/D3/T164] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'New iPhone 6 Released (1)' with Id '1091' has been published.
 2020-06-10 17:37:38,633 [P15948/D3/T136] INFO  umbraco.content - Save Xml to file...
 2020-06-10 17:37:38,667 [P15948/D3/T136] INFO  umbraco.content - Saved Xml to file.
 2020-06-10 17:37:53,513 [P15948/D3/T133] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Blog' with Id '1053' has been published.
 2020-06-10 17:37:57,588 [P15948/D3/T136] INFO  umbraco.content - Save Xml to file...
 2020-06-10 17:37:57,609 [P15948/D3/T136] INFO  umbraco.content - Saved Xml to file.
 2020-06-10 17:38:11,072 [P15948/D3/T141] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Blog' with Id '1053' has been published.
 2020-06-10 17:38:15,129 [P15948/D3/T10] INFO  umbraco.content - Save Xml to file...
 2020-06-10 17:38:15,153 [P15948/D3/T10] INFO  umbraco.content - Saved Xml to file.
 2020-06-10 17:38:23,283 [P15948/D3/T144] INFO  Umbraco.Core.Publishing.PublishingStrategy - Content 'Blog' with Id '1053' has been published.
 2020-06-10 17:38:27,308 [P15948/D3/T129] INFO  umbraco.content - Save Xml to file...
 2020-06-10 17:38:27,329 [P15948/D3/T129] INFO  umbraco.content - Saved Xml to file.
